KEGG
ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05222	Small cell lung cancer	2/3	92/8637	0.000334384938804714	0.0129043765840799	0.00563845650148476	LAMB3/NFKBIA	2
hsa05145	Toxoplasmosis	2/3	111/8637	0.000486957606946411	0.0129043765840799	0.00563845650148476	LAMB3/NFKBIA	2
hsa05134	Legionellosis	1/3	56/8637	0.0193275779257828	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04920	Adipocytokine signaling pathway	1/3	69/8637	0.0237784293533594	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	1/3	70/8637	0.0241202436287959	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04622	RIG-I-like receptor signaling pathway	1/3	71/8637	0.0244619781063393	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04623	Cytosolic DNA-sensing pathway	1/3	75/8637	0.0258281182238939	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05220	Chronic myeloid leukemia	1/3	76/8637	0.0261694538517061	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05140	Leishmaniasis	1/3	77/8637	0.026510709737519	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04662	B cell receptor signaling pathway	1/3	84/8637	0.0288972689447456	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04512	ECM-receptor interaction	1/3	89/8637	0.030599563882231	0.0829565266338267	0.0362471417267962	LAMB3	1
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	1/3	89/8637	0.030599563882231	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04658	Th1 and Th2 cell differentiation	1/3	92/8637	0.0316199853194478	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04657	IL-17 signaling pathway	1/3	94/8637	0.0322998682973222	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05215	Prostate cancer	1/3	97/8637	0.0333190959800422	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05142	Chagas disease	1/3	102/8637	0.0350162179813736	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05146	Amoebiasis	1/3	102/8637	0.0350162179813736	0.0829565266338267	0.0362471417267962	LAMB3	1
hsa04064	NF-kappa B signaling pathway	1/3	104/8637	0.035694510218151	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04625	C-type lectin receptor signaling pathway	1/3	104/8637	0.035694510218151	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04620	Toll-like receptor signaling pathway	1/3	108/8637	0.0370501409922996	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04659	Th17 cell differentiation	1/3	108/8637	0.0370501409922996	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04931	Insulin resistance	1/3	108/8637	0.0370501409922996	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04668	TNF signaling pathway	1/3	114/8637	0.0390812040228858	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04722	Neurotrophin signaling pathway	1/3	119/8637	0.0407715732928596	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04660	T cell receptor signaling pathway	1/3	121/8637	0.0414471655456568	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04926	Relaxin signaling pathway	1/3	129/8637	0.0441463623903048	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04380	Osteoclast differentiation	1/3	135/8637	0.0461674313356297	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04210	Apoptosis	1/3	136/8637	0.0465039989321944	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05135	Yersinia infection	1/3	137/8637	0.0468404873456991	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa05162	Measles	1/3	138/8637	0.0471768965854594	0.0829565266338267	0.0362471417267962	NFKBIA	1
hsa04936	Alcoholic liver disease	1/3	142/8637	0.0485217419933703	0.0829565266338267	0.0362471417267962	NFKBIA	1

GO
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0051216	cartilage development	2/6	203/18614	0.00172483137853329	0.0672547916628549	0.0301080132066017	FRZB/MGP	2
BP	GO:0009612	response to mechanical stimulus	2/6	215/18614	0.0019319740194709	0.0672547916628549	0.0301080132066017	KRT5/NFKBIA	2
BP	GO:0048705	skeletal system morphogenesis	2/6	229/18614	0.00218798281172367	0.0672547916628549	0.0301080132066017	MGP/CSRNP1	2
BP	GO:0045444	fat cell differentiation	2/6	246/18614	0.00251948240612637	0.0672547916628549	0.0301080132066017	LAMB3/FRZB	2
BP	GO:0061448	connective tissue development	2/6	275/18614	0.00313673891156053	0.0672547916628549	0.0301080132066017	FRZB/MGP	2
BP	GO:0010745	negative regulation of macrophage derived foam cell differentiation	1/6	13/18614	0.00418364566698814	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0070417	cellular response to cold	1/6	13/18614	0.00418364566698814	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0042994	cytoplasmic sequestering of transcription factor	1/6	15/18614	0.00482598694415537	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0060026	convergent extension	1/6	15/18614	0.00482598694415537	0.0672547916628549	0.0301080132066017	FRZB	1
BP	GO:0070365	hepatocyte differentiation	1/6	15/18614	0.00482598694415537	0.0672547916628549	0.0301080132066017	FRZB	1
BP	GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	1/6	16/18614	0.00514702807961054	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0008544	epidermis development	2/6	375/18614	0.00575480172144867	0.0672547916628549	0.0301080132066017	LAMB3/KRT5	2
BP	GO:0001502	cartilage condensation	1/6	20/18614	0.00643032970044977	0.0672547916628549	0.0301080132066017	MGP	1
BP	GO:0032495	response to muramyl dipeptide	1/6	20/18614	0.00643032970044977	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0010888	negative regulation of lipid storage	1/6	21/18614	0.00675093946821326	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0051220	cytoplasmic sequestering of protein	1/6	21/18614	0.00675093946821326	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0090103	cochlea morphogenesis	1/6	24/18614	0.00771225153848498	0.0672547916628549	0.0301080132066017	FRZB	1
BP	GO:0098743	cell aggregation	1/6	24/18614	0.00771225153848498	0.0672547916628549	0.0301080132066017	MGP	1
BP	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	1/6	25/18614	0.00803251654605708	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	1/6	26/18614	0.00835269540993988	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0035994	response to muscle stretch	1/6	26/18614	0.00835269540993988	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0010875	positive regulation of cholesterol efflux	1/6	27/18614	0.00867278814867156	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0060325	face morphogenesis	1/6	31/18614	0.0099522982227257	0.0672547916628549	0.0301080132066017	CSRNP1	1
BP	GO:0010743	regulation of macrophage derived foam cell differentiation	1/6	32/18614	0.0102719606136564	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0061037	negative regulation of cartilage development	1/6	32/18614	0.0102719606136564	0.0672547916628549	0.0301080132066017	FRZB	1
BP	GO:0045746	negative regulation of Notch signaling pathway	1/6	37/18614	0.0118689827287514	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0060323	head morphogenesis	1/6	37/18614	0.0118689827287514	0.0672547916628549	0.0301080132066017	CSRNP1	1
BP	GO:0010742	macrophage derived foam cell differentiation	1/6	38/18614	0.012188129313433	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0032373	positive regulation of sterol transport	1/6	38/18614	0.012188129313433	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0032376	positive regulation of cholesterol transport	1/6	38/18614	0.012188129313433	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0090077	foam cell differentiation	1/6	39/18614	0.0125071899951794	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0034142	toll-like receptor 4 signaling pathway	1/6	43/18614	0.0137825740627405	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0035987	endodermal cell differentiation	1/6	48/18614	0.0153748735500997	0.0672547916628549	0.0301080132066017	LAMB3	1
BP	GO:0010171	body morphogenesis	1/6	49/18614	0.0156930762194254	0.0672547916628549	0.0301080132066017	CSRNP1	1
BP	GO:0043330	response to exogenous dsRNA	1/6	49/18614	0.0156930762194254	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0140895	cell surface toll-like receptor signaling pathway	1/6	49/18614	0.0156930762194254	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0090102	cochlea development	1/6	50/18614	0.0160111931891359	0.0672547916628549	0.0301080132066017	FRZB	1
BP	GO:0043392	negative regulation of DNA binding	1/6	51/18614	0.0163292244776981	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0060324	face development	1/6	52/18614	0.016647170103574	0.0672547916628549	0.0301080132066017	CSRNP1	1
BP	GO:0010874	regulation of cholesterol efflux	1/6	53/18614	0.0169650300852234	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0010883	regulation of lipid storage	1/6	53/18614	0.0169650300852234	0.0672547916628549	0.0301080132066017	NFKBIA	1
BP	GO:0050873	brown fat cell differentiation	1/6	53/18614	0.0169650300852234	0.0672547916628549	0.0301080132066017	LAMB3	1
BP	GO:0009409	response to cold	1/6	54/18614	0.0172828044411034	0.0672547916628549	0.0301080132066017	NFKBIA	1
